@RELATION titanic
@ATTRIBUTE pclass {"1st","2nd","3rd","crew"}
@ATTRIBUTE age {"adult","child"}
@ATTRIBUTE sex {"male","female"}
@ATTRIBUTE class {"yes","no"}
@DATA
3rd,child,male,yes
3rd,child,male,yes
3rd,child,male,yes
3rd,child,male,yes
3rd,child,male,yes
3rd,child,male,yes
3rd,child,male,yes
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,male,no
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,yes
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
3rd,child,female,no
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,yes
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,male,no
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,yes
crew,adult,female,no
crew,adult,female,no
crew,adult,female,no
