@relation plastic
@attribute Strength numeric
@attribute Temperature numeric
@attribute class numeric
@attribute group {0,1}
@data
28.7,200,10,1
36.1,290,18,0
38.5,300,20,0
38.4,280,10,1
27.2,230,12,1
24.7,240,18,0
18.8,200,16,0
44.5,280,10,1
21.7,200,12,1
34.5,250,14,1
31.5,260,16,0
34.2,240,10,1
32.6,260,14,1
16.6,210,20,0
34.2,290,20,0
26.2,230,14,1
31.5,250,12,1
23.5,210,12,1
22.1,210,16,0
27.9,220,12,1
35.2,260,10,1
35.8,290,20,0
31.7,240,10,1
29.3,260,18,0
29.9,230,12,1
38.7,280,16,0
26.1,230,16,0
35.8,260,14,1
22.7,200,10,1
24.5,210,16,0
22.8,210,14,1
23.7,200,10,1
32.2,270,16,0
39.7,300,14,1
23.7,230,16,0
35.9,260,12,1
28.7,220,14,1
28.5,200,10,1
13.2,200,20,0
40.2,290,12,1
32.5,240,14,1
44.2,290,10,1
32.1,250,14,1
28.6,270,20,0
39.5,300,14,1
36.2,300,20,0
23.5,240,18,0
35.3,280,16,0
20.2,220,18,0
26.4,260,18,0
31.9,280,20,0
36.5,250,12,1
32.2,260,16,0
27.5,260,18,0
41.3,280,10,1
32.6,290,20,0
36.2,290,16,0
34.2,290,18,0
23.2,240,18,0
32.4,300,20,0
36.5,260,12,1
28.8,260,18,0
20.7,220,16,0
34.3,280,16,0
30.7,280,18,0
38.2,300,18,0
25.5,250,18,0
21,210,18,0
21.3,230,20,0
34.7,260,10,1
29.7,250,14,1
43.9,300,12,1
33.2,300,20,0
28.2,230,14,1
39,280,14,1
31.9,250,14,1
34.7,250,14,1
19.9,200,16,0
27.7,240,14,1
35,270,16,0
30.1,260,18,0
32.3,290,20,0
36.7,300,16,0
37.5,260,10,1
31.9,260,16,0
35.7,280,14,1
40.6,290,12,1
33.5,280,16,0
29.7,230,10,1
35.5,260,10,1
35.7,280,14,1
46.7,290,10,1
24.5,200,12,1
40.7,280,14,1
29.9,220,10,1
34.6,290,18,0
13.7,200,20,0
27.2,270,20,0
29.8,230,14,1
38.7,250,10,1
46.1,300,10,1
23.7,220,14,1
19.2,210,16,0
28.7,250,16,0
17.9,200,18,0
18.2,220,20,0
32.7,300,20,0
38.5,260,10,1
44.5,300,12,1
17.7,220,20,0
22.6,200,12,1
44.2,300,10,1
41.7,290,10,1
28.4,240,12,1
32.2,290,20,0
26.5,230,18,0
36.2,260,10,1
35.3,270,14,1
38.6,290,14,1
28.7,240,12,1
41.7,300,12,1
40.6,300,14,1
22.7,210,12,1
42.2,290,10,1
37.9,290,16,0
21.2,220,16,0
39.7,280,10,1
36.2,270,12,1
37.9,280,14,1
22.5,200,14,1
40.5,280,14,1
40.1,300,16,0
33.7,270,14,1
19,210,20,0
23.5,210,14,1
38.5,260,12,1
19.3,220,20,0
14.4,200,18,0
22.4,250,20,0
22.2,240,20,0
20.2,210,18,0
20.1,210,18,0
32.3,240,10,1
29.5,280,20,0
28.6,240,14,1
48.7,300,10,1
21.8,200,16,0
37,300,20,0
28.1,260,20,0
21.3,220,18,0
26.2,230,16,0
23.2,220,14,1
31.3,230,10,1
26.3,230,14,1
18.4,220,18,0
32.2,240,12,1
22.2,220,16,0
36.2,280,16,0
42.7,300,10,1
40.5,260,10,1
28.7,230,10,1
38.2,290,14,1
21.5,230,18,0
30.7,250,12,1
18.3,200,16,0
24.7,240,16,0
30.5,230,14,1
20.5,200,18,0
28.4,230,10,1
24.2,250,20,0
40.8,290,12,1
23.5,220,16,0
36.2,290,16,0
25.8,210,14,1
25,200,12,1
21.2,240,20,0
41.7,300,12,1
24.6,230,16,0
37.7,300,16,0
26.2,240,16,0
16.3,200,18,0
36.3,260,10,1
30.2,280,20,0
41.7,290,10,1
24.6,250,20,0
26.5,210,12,1
25.2,260,20,0
28.2,270,20,0
18.3,220,20,0
34.8,270,14,1
22.2,230,18,0
32.4,290,18,0
27.7,260,18,0
22.3,230,18,0
38.6,300,16,0
38.3,290,14,1
24.3,230,16,0
30.5,220,10,1
26.6,250,18,0
20.2,210,16,0
43.5,300,10,1
24.2,210,12,1
35.7,300,18,0
29.5,250,16,0
25.5,220,12,1
38.1,290,16,0
31.5,280,18,0
18.2,200,16,0
37.7,290,14,1
33.2,290,18,0
24.7,260,20,0
38.7,300,16,0
32.7,250,16,0
36.2,270,12,1
27,220,14,1
19,200,18,0
31,240,14,1
38.2,270,10,1
36.1,270,14,1
47.8,300,10,1
38.1,300,18,0
44.7,300,10,1
25.9,230,16,0
29.5,260,16,0
38.2,290,14,1
31.7,270,16,0
32.2,280,18,0
28.5,220,12,1
44.5,290,10,1
22.2,240,20,0
28.3,260,18,0
22.7,230,16,0
28.2,230,12,1
30.2,270,20,0
32.7,290,18,0
24.6,230,16,0
36.2,280,14,1
42.5,270,10,1
35.5,280,16,0
28.6,260,18,0
30.1,250,16,0
46.5,300,12,1
34.6,290,18,0
38.6,280,12,1
28.6,240,14,1
32.5,270,20,0
38.6,290,14,1
39.7,290,12,1
14.6,200,20,0
19.8,210,20,0
