@relation ele.2
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute class numeric
@attribute group {0,1}
@data
4,1.2,19.98,20,1655.150024,0
8,2.4,39.959999,80,3747.969971,0
0.7,0.42,4.64,7,355.320007,1
0.9,0.54,9,4.5,415.019989,1
8,7.2,79.919998,120,6111.27002,0
5,1.5,16.65,50,2049.149902,0
0.7,0.21,2.3,7,229.559998,1
0.6,0.36,3.96,9,332.559998,1
0.7,0.42,6.96,10.5,876.530029,1
0.9,0.54,18,1.8,774,1
3,1.8,19.98,6,764.960022,1
0.7,0.42,13.98,7,841.179993,1
0.6,0.18,3,6,253.160004,1
0.6,0.36,12,1.2,271.980011,1
0.5,0.45,4.95,5,289.970001,1
0.9,0.54,9,4.5,439.029999,1
0.6,0.18,6,1.2,177.039993,1
3,2.7,29.969999,30,2239.76001,0
6.5,3.9,43.290001,65,3495.550049,0
0.7,0.42,6.96,10.5,855.619995,1
5,1.5,16.65,50,2124.76001,0
6.5,5.85,64.980003,32.5,3728,0
11,3.3,54.959999,110,5186.810059,0
1.5,0.9,15,15,1270.430054,0
9.5,8.55,94.949997,142.5,7631.450195,0
8,4.8,79.980003,80,5667.910156,0
2.5,0.75,8.28,5,376.070007,1
8,7.2,120,40,6454.339844,0
4,1.2,13.32,60,2172.370117,0
0.8,0.72,7.92,12,909.429993,1
0.6,0.54,18,9,1079.47998,0
4,3.6,60,40,3682.600098,0
8,4.8,53.279999,16,2963.929932,0
8,4.8,79.980003,80,5705.740234,0
0.6,0.18,3,1.2,167.440002,1
9.5,8.55,94.949997,95,6554,0
0.8,0.24,7.98,1.6,406.75,1
5,1.5,16.65,25,1684.199951,0
0.7,0.21,2.3,3.5,172.380005,1
4,2.4,26.639999,20,1828.349976,0
0.9,0.54,18,1.8,442.019989,1
4,2.4,39.959999,40,2969.23999,0
9.5,5.7,63.27,47.5,4060.860107,0
0.8,0.48,5.31,12,788.789978,1
0.7,0.21,3.48,10.5,702.640015,1
0.8,0.48,5.31,1.6,144.860001,1
0.5,0.15,2.46,2.5,167.600006,1
0.6,0.54,9,9,611.450012,1
11,6.6,73.260002,55,4741.509766,0
11,3.3,36.630001,55,3246.110107,0
0.9,0.54,5.94,1.8,270.970001,1
0.5,0.3,4.98,7.5,343.959991,1
0.5,0.3,3.33,1,111.459999,1
0.7,0.21,3.48,10.5,683.5,1
6.5,5.85,64.980003,65,4562.140137,0
11,3.3,54.959999,22,3683.870117,0
5,1.5,16.65,50,2075.060059,0
0.8,0.24,2.64,1.6,110.980003,1
0.6,0.18,6,6,457.48999,1
0.5,0.3,9.99,7.5,532.880005,1
8,2.4,26.639999,120,4029.899902,0
5,4.5,49.950001,50,3576.219971,0
2.5,0.75,12.48,37.5,1556.140015,0
2,0.6,9.96,20,1094.25,0
1.5,0.9,9.99,22.5,1210.560059,0
6.5,1.95,21.6,65,2623.330078,0
0.8,0.72,7.92,4,366.320007,1
0.8,0.72,7.92,1.6,357.709991,1
8,4.8,53.279999,40,3550.409912,0
0.7,0.21,2.3,10.5,654.22998,1
5,1.5,16.65,25,1660.449951,0
6.5,1.95,32.459999,32.5,2760.429932,0
4,1.2,19.98,20,1702.439941,0
2,0.6,9.96,10,660.090027,1
9.5,8.55,94.949997,95,6547.189941,0
8,7.2,120,80,7071.680176,0
2.5,0.75,8.28,12.5,932.469971,1
0.7,0.63,6.93,7,474.350006,1
1.5,0.9,9.99,7.5,449.899994,1
3,2.7,29.969999,30,2243.550049,0
0.6,0.18,1.98,6,193.520004,1
2,0.6,9.96,4,479.23999,1
0.6,0.54,18,1.2,763.400024,1
11,3.3,36.630001,165,6460.560059,0
5,4.5,75,50,4581.52002,0
5,4.5,49.950001,75,3898.27002,0
0.9,0.81,13.5,9,807.22998,1
0.5,0.3,3.33,5,236.149994,1
0.8,0.24,3.96,8,314.890015,1
4,2.4,26.639999,8,1341.680054,0
0.6,0.36,6,6,364.359985,1
0.7,0.63,10.5,7,520.210022,1
8,4.8,79.980003,120,6775.5,0
0.6,0.54,9,6,439.429993,1
5,4.5,75,75,5152.959961,0
0.6,0.18,6,6,395.369995,1
0.5,0.3,9.99,5,483.230011,1
0.6,0.36,12,3,526.72998,1
0.9,0.54,9,9,530.159973,1
2,0.6,6.66,30,1256.910034,0
8,4.8,79.980003,40,4760.830078,0
2.5,1.5,16.65,5,653.469971,1
0.7,0.63,10.5,3.5,457.359985,1
0.9,0.81,9,9,600.039978,1
0.5,0.15,2.46,7.5,248.910004,1
1.5,1.35,22.5,7.5,854.549988,1
5,3,49.98,75,4153.990234,0
0.7,0.42,4.64,7,301.5,1
0.5,0.15,1.64,2.5,117.480003,1
0.5,0.45,4.95,2.5,219.399994,1
1.5,0.9,15,7.5,612.22998,1
5,3,49.98,25,3115.669922,0
0.6,0.36,6,9,454.01001,1
0.7,0.63,10.5,7,624.409973,1
4,1.2,13.32,8,775.630005,1
0.6,0.54,18,1.2,431.410004,1
0.9,0.27,2.97,13.5,766.330017,1
8,7.2,120,120,8272.740234,0
3,1.8,19.98,6,1013.330017,1
6.5,5.85,64.980003,97.5,5112.240234,0
0.5,0.3,3.33,5,218.850006,1
11,3.3,36.630001,22,2628.820068,0
6.5,5.85,97.5,97.5,6799.410156,0
0.6,0.54,9,6,542.48999,1
9.5,2.85,47.459999,142.5,5799.240234,0
5,4.5,75,25,4137.709961,0
0.7,0.42,4.64,1.4,131.949997,1
9.5,2.85,47.459999,95,4651.810059,0
4,1.2,19.98,60,2353.110107,0
0.9,0.27,2.97,9,319.630005,1
0.6,0.36,12,6,574.030029,1
0.5,0.3,9.99,2.5,447.529999,1
1.5,1.35,22.5,22.5,1830.02002,0
9.5,5.7,94.980003,95,6810.549805,0
0.9,0.81,9,4.5,413.179993,1
3,0.9,15,45,1827.349976,0
8,7.2,120,40,6474.799805,0
1.5,1.35,14.94,22.5,1440.699951,0
9.5,2.85,47.459999,19,3024.689941,0
0.9,0.54,5.94,13.5,842.929993,1
3,2.7,45,30,2835.629883,0
0.5,0.3,9.99,5,486.980011,1
3,2.7,45,15,2535.139893,0
5,1.5,24.959999,75,2806.02002,0
11,6.6,73.260002,165,7570.5,0
1.5,0.9,9.99,15,988.450012,1
2.5,0.75,8.28,12.5,940.049988,1
0.5,0.45,4.95,7.5,369.299988,1
0.7,0.63,6.93,10.5,842.190002,1
3,0.9,15,6,705.409973,1
3,1.8,30,30,2342.01001,0
0.7,0.42,13.98,10.5,1246.170044,0
2,1.2,13.32,4,525.849976,1
0.6,0.54,18,1.2,431.410004,1
1.5,0.9,9.99,3,397.220001,1
1.5,0.9,9.99,3,389.660004,1
0.9,0.27,2.97,13.5,774.130005,1
0.5,0.3,9.99,1,237.570007,1
0.6,0.36,3.96,9,300.140015,1
5,1.5,16.65,10,946.130005,1
2.5,0.75,12.48,12.5,1172.72998,0
3,0.9,15,15,1312.819946,0
4,1.2,19.98,8,1160.719971,0
0.9,0.27,9,4.5,497.130005,1
2,0.6,6.66,4,312.579987,1
1.5,0.9,15,7.5,795.349976,1
0.5,0.15,2.46,1,95.389999,1
5,3,33.299999,25,2351.889893,0
0.5,0.45,4.95,7.5,320.690002,1
4,3.6,39.959999,20,2292.139893,0
0.6,0.18,3,9,265.940002,1
0.6,0.18,1.98,9,261.51001,1
0.8,0.24,7.98,4,447.209991,1
2.5,2.25,24.93,25,1993.040039,0
0.8,0.48,7.98,8,548.48999,1
8,2.4,26.639999,40,2358.469971,0
5,3,33.299999,10,1636.140015,0
0.6,0.36,12,6,574.030029,1
0.9,0.54,5.94,1.8,273.26001,1
0.5,0.15,2.46,5,203.050003,1
2,0.6,9.96,20,1079.780029,0
0.5,0.15,2.46,5,190.789993,1
3,2.7,45,45,3263.080078,0
4,3.6,39.959999,60,3169.97998,0
0.9,0.27,9,9,672.719971,1
2,0.6,6.66,20,922.5,1
0.8,0.24,3.96,4,283.619995,1
0.5,0.3,4.98,2.5,246.759995,1
0.7,0.21,3.48,10.5,675.960022,1
9.5,8.55,94.949997,142.5,7674.47998,0
8,2.4,26.639999,40,2451.75,0
0.9,0.54,5.94,4.5,309.529999,1
0.5,0.45,7.5,7.5,444.459991,1
0.6,0.18,6,9,531.390015,1
0.8,0.24,3.96,12,762.400024,1
0.6,0.36,6,1.2,156.389999,1
0.6,0.18,3,6,230.410004,1
0.8,0.48,7.98,4,380.059998,1
0.7,0.63,6.93,3.5,319.959991,1
3,1.8,19.98,45,2028.98999,0
0.5,0.45,4.95,1,132.440002,1
8,2.4,39.959999,80,3786.469971,0
6.5,1.95,21.6,13,1587.319946,0
0.9,0.81,13.5,9,807.22998,1
6.5,1.95,32.459999,32.5,2591.51001,0
0.6,0.54,5.94,9,399.579987,1
2,1.2,13.32,4,517.929993,1
4,3.6,60,60,4295,0
4,3.6,39.959999,20,2294.139893,0
4,3.6,60,60,4303.169922,0
8,4.8,53.279999,120,4883.350098,0
2,0.6,9.96,30,1345.339966,0
1.5,1.35,22.5,15,1515.969971,0
0.8,0.48,7.98,1.6,205.919998,1
5,1.5,24.959999,75,2881.550049,0
0.9,0.54,18,4.5,810.299988,1
2,1.8,19.98,10,996.02002,1
8,2.4,39.959999,120,4367.27002,0
9.5,2.85,31.59,95,3718.689941,0
0.9,0.27,4.5,9,401.679993,1
9.5,5.7,63.27,142.5,6346.370117,0
0.5,0.3,3.33,1,108.830002,1
0.6,0.54,5.94,1.2,260.549988,1
1.5,0.45,4.95,22.5,1106.800049,0
0.9,0.54,18,1.8,774,1
0.5,0.3,4.98,5,305.179993,1
2,0.6,9.96,10,535.929993,1
5,4.5,49.950001,50,3583,0
1.5,0.9,15,22.5,1484.959961,0
5,3,33.299999,10,1267.030029,0
0.6,0.36,6,9,416.660004,1
0.8,0.48,5.31,12,786.070007,1
0.5,0.45,4.95,5,291.850006,1
0.9,0.81,9,13.5,980.859985,1
1.5,0.9,9.99,7.5,553.609985,1
2,1.8,30,10,1153.589966,0
6.5,3.9,64.980003,65,4699.540039,0
3,0.9,9.99,15,1030.859985,1
0.9,0.27,4.5,1.8,244.259995,1
0.6,0.18,1.98,6,209.809998,1
0.9,0.81,9,9,600.039978,1
8,7.2,79.919998,80,5497.709961,0
0.6,0.18,1.98,3,138.160004,1
8,2.4,26.639999,16,1929.300049,0
2,0.6,9.96,4,484.829987,1
0.7,0.42,4.64,1.4,130.479996,1
5,1.5,16.65,10,789.150024,1
9.5,2.85,31.59,19,2208.389893,0
0.9,0.81,13.5,4.5,607.289978,1
0.5,0.3,4.98,2.5,245.720001,1
6.5,3.9,64.980003,65,4672.509766,0
0.8,0.72,7.92,1.6,351.559998,1
9.5,5.7,63.27,19,3502.76001,0
0.9,0.81,9,13.5,980.859985,1
6.5,1.95,32.459999,65,3247.25,0
4,1.2,13.32,40,1675.52002,0
0.8,0.48,7.98,1.6,347.049988,1
3,2.7,29.969999,45,2443.389893,0
0.5,0.3,9.99,1,232.320007,1
1.5,0.9,9.99,15,971.960022,1
0.6,0.54,9,9,520.590027,1
2.5,2.25,37.5,37.5,2812.02002,0
11,3.3,36.630001,22,2660.639893,0
9.5,2.85,47.459999,95,4575.549805,0
1.5,0.9,15,22.5,1489.079956,0
5,3,49.98,50,3705.389893,0
0.5,0.45,15,2.5,657.359985,1
0.5,0.3,3.33,2.5,187.610001,1
6.5,5.85,97.5,32.5,5268.200195,0
4,2.4,26.639999,60,2615.439941,0
3,1.8,19.98,6,781.559998,1
0.8,0.72,7.92,8,545.950012,1
6.5,1.95,32.459999,65,3146.340088,0
5,1.5,16.65,75,2569.889893,0
9.5,2.85,31.59,19,2168.649902,0
2.5,0.75,12.48,5,594.5,1
0.7,0.63,10.5,10.5,1058.959961,0
6.5,3.9,64.980003,32.5,3916.280029,0
0.5,0.3,9.99,2.5,444.369995,1
4,2.4,39.959999,40,2972.02002,0
0.6,0.36,12,3,526.72998,1
0.8,0.24,2.64,4,202.809998,1
3,1.8,30,30,2332.689941,0
1.5,1.35,14.94,22.5,1440.550049,0
0.6,0.54,5.94,6,413.98999,1
0.8,0.72,7.92,12,931.320007,1
2.5,2.25,24.93,37.5,2099.899902,0
8,2.4,39.959999,40,3201.97998,0
0.5,0.3,4.98,5,294.76001,1
4,1.2,13.32,40,1667.619995,0
6.5,3.9,43.290001,65,3510.97998,0
0.8,0.24,7.98,4,432.170013,1
0.6,0.36,3.96,1.2,186.610001,1
0.7,0.42,6.96,7,423.829987,1
1.5,1.35,14.94,15,1214.199951,0
2,0.6,6.66,10,409.049988,1
0.7,0.63,6.93,7,405.149994,1
8,2.4,39.959999,16,2641.850098,0
1.5,0.45,4.95,22.5,1075.550049,0
0.9,0.54,18,13.5,1478.459961,0
2,1.8,19.98,20,1517.390015,0
4,1.2,19.98,8,1164.089966,0
0.9,0.81,9,4.5,413.179993,1
11,3.3,36.630001,55,3246.820068,0
0.8,0.48,5.31,1.6,239.110001,1
6.5,3.9,64.980003,32.5,3895.060059,0
0.6,0.54,18,6,808.809998,1
2,1.2,13.32,30,1463.430054,0
3,2.7,45,30,2848.330078,0
4,3.6,60,40,3695.939941,0
11,3.3,54.959999,22,3666.080078,0
3,2.7,29.969999,45,2453.100098,0
3,0.9,15,30,1636.170044,0
6.5,5.85,64.980003,65,4571.779785,0
1.5,1.35,22.5,7.5,1113.130005,0
3,2.7,29.969999,15,1813.47998,0
8,2.4,39.959999,120,4376.899902,0
0.8,0.24,3.96,8,358.51001,1
0.8,0.72,12,8,722.960022,1
0.8,0.48,5.31,4,285.980011,1
0.6,0.36,6,6,357.200012,1
5,3,49.98,50,3702.540039,0
0.6,0.54,5.94,9,445.75,1
2,1.8,30,20,1894.27002,0
0.5,0.45,15,7.5,892.48999,1
6.5,3.9,43.290001,13,2501.090088,0
0.5,0.3,9.99,7.5,633.890015,1
2,1.2,13.32,20,1201.849976,0
0.5,0.3,9.99,7.5,522.539978,1
0.5,0.3,4.98,7.5,336.670013,1
2.5,2.25,37.5,12.5,2195.280029,0
0.8,0.48,5.31,8,350.559998,1
11,6.6,73.260002,22,4171.910156,0
9.5,2.85,31.59,142.5,5329.470215,0
6.5,1.95,21.6,32.5,2001.01001,0
9.5,8.55,142.5,47.5,7651.509766,0
0.9,0.27,9,9,585.109985,1
3,1.8,19.98,15,1424.349976,0
1.5,0.9,9.99,22.5,1211.280029,0
2.5,2.25,24.93,25,1983.01001,0
0.9,0.27,2.97,9,345.700012,1
0.8,0.72,12,8,606.940002,1
4,1.2,19.98,20,1663.089966,0
3,1.8,19.98,30,1805.880005,0
0.5,0.45,7.5,7.5,440.339996,1
11,3.3,54.959999,165,6892.029785,0
11,3.3,54.959999,55,4417.569824,0
0.5,0.15,1.64,1,71.580002,1
0.9,0.27,4.5,1.8,176.350006,1
2,1.2,13.32,20,1192.810059,0
9.5,5.7,94.980003,47.5,5544.25,0
9.5,2.85,31.59,19,2135.159912,0
4,1.2,19.98,60,2352.340088,0
4,2.4,26.639999,8,1018.580017,1
0.5,0.15,2.46,5,220.149994,1
0.8,0.48,7.98,4,384.929993,1
2.5,0.75,8.28,5,421.519989,1
9.5,5.7,94.980003,47.5,5549.899902,0
0.9,0.81,9,9,512.690002,1
8,7.2,120,40,6467.569824,0
4,1.2,19.98,40,2038.689941,0
0.8,0.24,3.96,8,394.799988,1
5,3,33.299999,75,3122.530029,0
2,1.2,19.98,30,1835.040039,0
0.7,0.63,10.5,3.5,456.839996,1
0.9,0.27,9,4.5,489.190002,1
0.7,0.21,3.48,3.5,234.460007,1
0.5,0.3,3.33,5,229.600006,1
0.9,0.27,2.97,4.5,232.160004,1
0.9,0.54,5.94,4.5,308.089996,1
8,4.8,53.279999,40,3396.350098,0
1.5,0.9,15,22.5,1471.02002,0
6.5,3.9,43.290001,97.5,4103.629883,0
0.8,0.72,7.92,4,375.019989,1
0.6,0.54,5.94,9,453.440002,1
5,4.5,49.950001,25,2982.389893,0
0.5,0.45,7.5,5,362.119995,1
6.5,3.9,64.980003,32.5,3896.76001,0
3,1.8,30,15,1908.150024,0
3,0.9,15,45,1831.290039,0
2.5,2.25,37.5,12.5,2195.280029,0
2,1.8,19.98,4,728.969971,1
0.5,0.3,3.33,7.5,300.679993,1
0.8,0.48,15.99,1.6,390.890015,1
9.5,5.7,63.27,19,3440.48999,0
3,0.9,9.99,15,1071.699951,0
0.8,0.72,7.92,8,469.190002,1
0.6,0.18,3,3,208.490005,1
8,4.8,53.279999,40,3468.73999,0
0.8,0.72,7.92,8,533.030029,1
2.5,2.25,24.93,25,1981.170044,0
3,0.9,9.99,45,1719.569946,0
0.6,0.18,3,9,316.170013,1
2,1.2,19.98,20,1582.76001,0
0.8,0.24,7.98,8,618.700012,1
2.5,2.25,37.5,37.5,2812.02002,0
5,3,33.299999,25,2365.01001,0
0.7,0.21,6.99,7,518.859985,1
0.5,0.15,1.64,7.5,234.190002,1
2.5,0.75,8.28,25,1249.089966,0
4,3.6,60,20,3320.040039,0
5,3,33.299999,25,2303.98999,0
6.5,3.9,64.980003,65,4743.839844,0
0.8,0.48,15.99,8,941.679993,1
8,2.4,39.959999,120,4375.77002,0
0.6,0.36,3.96,3,209.309998,1
0.6,0.54,5.94,3,274.519989,1
0.6,0.54,5.94,6,354.910004,1
